Place_index;Place_name;Latitude;Longitude;Neighbors_indice;Neighbor_weight;Neighbor_diatance
1;UT_campus_ENG;35.72433165;51.38847099;3,2,5,9;6,5,7,7;4.4,3.9,5.1,5
2;UT_Enghelab;35.70234445;51.39573441;5,3,1,4;7,3,5,4;4.9,2.3,3.5,3
3;Imam_khomeini_hospital;35.70962773;51.3809608;1,2;4,2;3,1.8
4;Ferdosi_park;35.70300659;51.41683803;2,5;5,5;3.2,3.4
5;Mirzaye_shirazi_subway_station;35.72997556;51.417868;4,1,6;6,5,2;4.3,3.7,1.7
6;Kasra_hospital;35.74035653;51.41469226;5,7,9;2,8,8;1.6,5.4,5.5
7;Hemat_subway_station;35.74927333;51.42585025;6,10;5,6;3.4,4.5
8;Mellat_park;35.77748006;51.40937076;9,10;9,12;6,8.5
9;Baqiatallah_hospital;35.75742297;51.39486538;8,6,1;6,7,6;4.1,5.2,4.5
10;Iranmehr-hospital;35.76926283;51.44155727;7,8;10,9;6.8,6.6
